"Response_Group","Concentration","a","b","c","d","OR","Lower_CI","Upper_CI","Pval","Stars"
"Non response (0.1)","0.1",297,12011,55,1911,0.859190415510253,0.639648860347601,1.17237003058478,0.30853669635319,""
"CX_DOX_1","0.1",1,414,351,13508,0.0929887165177337,0.00234507909434675,0.524312899422464,0.000581051699908477,"***"
"DOX_sp_1","0.1",54,1497,298,12425,1.50395766463378,1.09841840447559,2.02649004583121,0.00902221604077116,"**"
"Non response (0.5)","0.5",123,7011,226,6766,0.525256379702787,0.417100803573734,0.658894993544185,7.21128567559379e-09,"***"
"DOX_sp_2","0.5",4,175,345,13602,0.901173715033327,0.241446191850305,2.36997774446157,1,""
"DOX_sp_3","0.5",221,6229,128,7548,2.09207474627786,1.67069057160919,2.62867957895683,2.10988511311766e-11,"***"
"CX_DOX_2","0.5",0,142,349,13635,0,0,1.03087816002872,0.0529444302858159,""
"CX_DOX_3","0.5",1,220,348,13557,0.177071423083746,0.00445393652528077,1.00361321450689,0.0470661744986631,"*"
