"Response_Group","Concentration","a","b","c","d","OR","Lower_CI","Upper_CI","Pval","Stars"
"Non response (0.1)","0.1",34,12274,34,1932,0.157439745390049,0.0946836529249023,0.261714813062442,9.76088251956634e-13,"***"
"CX_DOX_1","0.1",20,395,48,13811,14.5575295866217,8.10239315776945,25.2792903384026,2.69547538793062e-15,"***"
"DOX_sp_1","0.1",14,1537,54,12669,2.13684303835132,1.09342495021991,3.91215587712474,0.0170285676526126,"*"
"Non response (0.5)","0.5",18,7116,50,6942,0.351210326310775,0.192618186428223,0.613315848873106,7.53625345999259e-05,"***"
"DOX_sp_2","0.5",1,178,67,13880,1.16382855483859,0.0288778478518164,6.79351101359826,0.580736571919922,""
"DOX_sp_3","0.5",29,6421,39,7637,0.884430302942155,0.526820762104738,1.46930534554885,0.6282547546847,""
"CX_DOX_2","0.5",5,137,63,13921,8.06090752699856,2.49141657236799,20.2739008056768,0.000599694120390517,"***"
"CX_DOX_3","0.5",15,206,53,13852,19.0127473549285,9.78773648136457,34.899248253759,1.09035446654774e-13,"***"
