"Response_Group","Concentration","a","b","c","d","OR","Lower_CI","Upper_CI","Pval","Stars"
"Non response (0.1)","0.1",355,11953,52,1914,1.09319690842637,0.81169960963513,1.49818711686837,0.6095207094067,""
"CX_DOX_1","0.1",9,406,398,13461,0.749748372999206,0.337862210521964,1.45220897274486,0.547072888481245,""
"DOX_sp_1","0.1",43,1508,364,12359,0.968164543084265,0.68557661433737,1.33732968570687,0.935559147777764,""
"Non response (0.5)","0.5",187,6947,214,6778,0.85258469339354,0.694884651076289,1.0453891340953,0.116609855264109,""
"DOX_sp_2","0.5",13,166,388,13559,2.73639583918618,1.4141105185645,4.864374208727,0.00180936360198975,"**"
"DOX_sp_3","0.5",195,6255,206,7470,1.13046309942755,0.921827619488896,1.38587115918442,0.242124287064072,""
"CX_DOX_2","0.5",1,141,400,13584,0.240864394915746,0.00604369243782484,1.37184805242312,0.195024908222013,""
"CX_DOX_3","0.5",5,216,396,13509,0.789677568317899,0.252421498682174,1.88721828766905,0.836954291434587,""
